region,year,gdp_growth,log_gdp_pc,manufacturing_share,border_delay_index_filled
ARG,2024,-1.34293072157739,9.455194584790856,15.1850458096465,0.5261580490385214
BHS,2024,3.37866553336166,10.433180166579165,0.629705421656308,0.5261580490385214
BLZ,2024,3.50466435023895,8.746794716182972,6.59392256001454,0.5261580490385214
BOL,2024,-1.12335595517212,8.021458053370118,13.0661500585552,0.5261580490385214
BRA,2024,3.41931516597739,9.166048205689751,12.1108065155746,0.5261580490385214
BRB,2024,2.4822621396186,9.97957863785945,5.01530397903455,0.5261580490385214
CHL,2024,2.64431154871538,9.587364859800584,9.01046913453608,0.5261580490385214
COL,2024,1.5983315366523,8.833986728002298,10.0955376873703,0.5261580490385214
CRI,2024,4.32122429646145,9.606871178983896,12.9639765989781,0.5261580490385214
CUB,2024,-1.06173273220524,8.906718295391586,10.6773248471059,0.5261580490385214
CUW,2024,5.02690000000014,9.800611458510216,2.91971509387676,0.5261580490385214
DMA,2024,2.052738472526,9.1239881045895,4.73392187012764,0.5261580490385214
DOM,2024,4.95352204492849,9.123523978409294,12.4639218694399,0.5261580490385214
ECU,2024,-2.00125476341026,8.699413728218833,12.8762268451495,0.5261580490385214
GRD,2024,3.96332516398188,9.229751254633136,3.80165110766755,0.5261580490385214
GTM,2024,3.65186382894819,8.425756599011839,13.587559280005,0.5261580490385214
GUY,2024,43.8193108024355,10.4053216021545,1.69733624390457,0.5261580490385214
HND,2024,3.55397003296669,7.852972224689558,14.8666617820448,0.5261580490385214
HTI,2024,-4.16963395808132,7.051745668078939,26.2315707464341,0.5261580490385214
JAM,2024,-0.535039063867487,8.715459076326468,7.73420536237464,0.5261580490385214
KNA,2024,0.312226855858171,9.984709901357247,3.89777095810853,0.5261580490385214
LCA,2024,3.89175024218898,9.380500926228349,2.92932624479293,0.5261580490385214
MEX,2024,1.42742769080466,9.241496072304914,19.8017537671375,1.0
NIC,2024,3.5878302292345,7.736513025151374,13.5056664041759,0.5261580490385214
PAN,2024,2.74788545546916,9.748161553866934,4.93766629690914,0.5261580490385214
PER,2024,3.30394098171516,8.811532162380013,12.1140270326731,0.5261580490385214
PRI,2024,3.17707554784896,10.340815023025526,44.1442583412387,0.5261580490385214
PRY,2024,4.24996010464072,8.800993464343195,19.0225604692616,0.5261580490385214
SLV,2024,2.60202016121069,8.430594674114415,12.0454823079116,0.5261580490385214
SUR,2024,1.72095737011739,8.888240432455637,19.8288827476317,0.5261580490385214
TCA,2024,5.63682517443362,10.9539471541314,0.446951892369447,0.5261580490385214
TTO,2024,2.50920813979569,9.699686041800812,14.3789697782798,0.5261580490385214
URY,2024,3.10825478066172,9.85001310903206,9.69126071048577,0.5261580490385214
VCT,2024,4.06183490050209,9.15748667258097,3.7628902274313,0.5261580490385214
