region,year,gdp_growth,log_gdp_pc
ABW,2024,6.81077669324542,10.415529959494902
ARG,2024,-1.34293072157739,9.455194584790856
ATG,2024,3.65638765956977,9.817394937190569
BHS,2024,3.37866553336166,10.433180166579165
BLZ,2024,3.50466435023895,8.746794716182972
BMU,2024,5.97253260071749,11.71273982322666
BOL,2024,-1.12335595517212,8.021458053370118
BRA,2024,3.41931516597739,9.166048205689751
BRB,2024,2.4822621396186,9.97957863785945
CAN,2024,1.55479521049516,10.70129646832037
CHL,2024,2.64431154871538,9.587364859800584
COL,2024,1.5983315366523,8.833986728002298
CRI,2024,4.32122429646145,9.606871178983896
CUB,2024,-1.06173273220524,8.906718295391586
CUW,2024,5.02690000000014,9.800611458510216
DMA,2024,2.052738472526,9.1239881045895
DOM,2024,4.95352204492849,9.123523978409294
ECU,2024,-2.00125476341026,8.699413728218833
GRD,2024,3.96332516398188,9.229751254633136
GTM,2024,3.65186382894819,8.425756599011839
GUY,2024,43.8193108024355,10.4053216021545
HND,2024,3.55397003296669,7.852972224689558
HTI,2024,-4.16963395808132,7.051745668078939
JAM,2024,-0.535039063867487,8.715459076326468
KNA,2024,0.312226855858171,9.984709901357247
LCA,2024,3.89175024218898,9.380500926228349
MEX,2024,1.42742769080466,9.241496072304914
NIC,2024,3.5878302292345,7.736513025151374
PAN,2024,2.74788545546916,9.748161553866934
PER,2024,3.30394098171516,8.811532162380013
PRI,2024,3.17707554784896,10.340815023025526
PRY,2024,4.24996010464072,8.800993464343195
SLV,2024,2.60202016121069,8.430594674114415
SUR,2024,1.72095737011739,8.888240432455637
SXM,2024,3.00000000000014,10.458526623165566
TCA,2024,5.63682517443362,10.9539471541314
TTO,2024,2.50920813979569,9.699686041800812
URY,2024,3.10825478066172,9.85001310903206
USA,2024,2.79300127716779,11.102792037320048
VCT,2024,4.06183490050209,9.15748667258097
VEN,2024,5.29999999999984,7.313902004402332
