region,year,gdp_growth,log_gdp_pc,manufacturing_share,border_quality_index,quality_x_log_gdp,quality_x_manufacturing
ARG,2024,-1.34293072157739,9.455194584790856,15.1850458096465,0.3684210526315787,0.023108882493013,0.1179968040617837
BHS,2024,3.37866553336166,10.433180166579165,0.629705421656308,0.3157894736842106,-0.0827935769993003,0.0965655106914419
BLZ,2024,3.50466435023895,8.746794716182972,6.59392256001454,0.3285883293323389,-4.091495975260656e-16,-3.596483961954784e-16
BOL,2024,-1.12335595517212,8.021458053370118,13.0661500585552,0.1578947368421052,1.3745464200704187,-0.2445572227964775
BRA,2024,3.41931516597739,9.166048205689751,12.1108065155746,0.5789473684210527,-0.2906341255651006,0.1860383094312577
BRB,2024,2.4822621396186,9.97957863785945,5.01530397903455,0.3285883293323389,4.1495544477049263e-16,-4.861658826690293e-16
CHL,2024,2.64431154871538,9.587364859800584,9.01046913453608,0.4736842105263157,0.1996484673941838,-0.216914821650374
COL,2024,1.5983315366523,8.833986728002298,10.0955376873703,0.4210526315789473,-0.2922138798578013,-0.065805906808922
CRI,2024,4.32122429646145,9.606871178983896,12.9639765989781,0.4210526315789473,0.1380887961684396,0.1256561927583269
CUB,2024,-1.06173273220524,8.906718295391586,10.6773248471059,0.0526315789473683,0.7512522212931386,0.0804996699911563
CUW,2024,5.02690000000014,9.800611458510216,2.91971509387676,0.3285883293323389,2.953174836371856e-16,-6.541156595350061e-16
DMA,2024,2.052738472526,9.1239881045895,4.73392187012764,0.3285883293323389,-1.569991858918683e-16,-5.087170914198026e-16
DOM,2024,4.95352204492849,9.123523978409294,12.4639218694399,0.263157894736842,0.0927095318474111,-0.0652990404417615
ECU,2024,-2.00125476341026,8.699413728218833,12.8762268451495,0.4105263157894736,-0.3253416484574261,0.1061609255838893
GRD,2024,3.96332516398188,9.229751254633136,3.80165110766755,0.2105263157894736,0.0917694211762525,0.6204277923052577
GTM,2024,3.65186382894819,8.425756599011839,13.587559280005,0.263157894736842,0.3676102328411062,-0.1183714872242874
GUY,2024,43.8193108024355,10.4053216021545,1.69733624390457,0.1578947368421052,-1.0755546040059498,1.1563052073613027
HND,2024,3.55397003296669,7.852972224689558,14.8666617820448,0.4210526315789473,-0.8383927626906716,0.252656317631565
HTI,2024,-4.16963395808132,7.051745668078939,26.2315707464341,0.0,4.564609738504743,-3.593619034016258
JAM,2024,-0.535039063867487,8.715459076326468,7.73420536237464,0.2105263157894736,0.4573688303155335,0.2852710010632068
KNA,2024,0.312226855858171,9.984709901357247,3.89777095810853,0.3285883293323389,4.1838564859415676e-16,-5.757299297176726e-16
LCA,2024,3.89175024218898,9.380500926228349,2.92932624479293,0.3285883293323389,1.4477344592740805e-17,-6.533453793224946e-16
MEX,2024,1.42742769080466,9.241496072304914,19.8017537671375,0.0,0.2321740021224732,-2.068464463616092
NIC,2024,3.5878302292345,7.736513025151374,13.5056664041759,0.2105263157894736,1.1532808293415666,-0.206608891307837
PAN,2024,2.74788545546916,9.748161553866934,4.93766629690914,0.5263157894736842,0.4635068515176876,-0.8769287640827753
PER,2024,3.30394098171516,8.811532162380013,12.1140270326731,0.4736842105263157,-0.4781624245634154,0.1081560465573208
PRI,2024,3.17707554784896,10.340815023025526,44.1442583412387,0.3285883293323389,6.564387422420417e-16,2.6498018639991598e-15
PRY,2024,4.24996010464072,8.800993464343195,19.0225604692616,0.3157894736842106,0.0429906995262387,-0.0733697116927735
SLV,2024,2.60202016121069,8.430594674114415,12.0454823079116,0.3157894736842106,0.0715354387959784,-0.0089071078244614
SUR,2024,1.72095737011739,8.888240432455637,19.8288827476317,0.3285883293323389,-3.145943993750125e-16,7.010599450653693e-16
TCA,2024,5.63682517443362,10.9539471541314,0.446951892369447,0.3285883293323389,1.0663120963260582e-15,-8.522938570225737e-16
TTO,2024,2.50920813979569,9.699686041800812,14.3789697782798,0.2105263157894736,-0.2422972587568965,-0.2810372494913709
URY,2024,3.10825478066172,9.85001310903206,9.69126071048577,0.4736842105263157,0.4291126865158783,-0.145607787618467
VCT,2024,4.06183490050209,9.15748667258097,3.7628902274313,0.3285883293323389,-1.3460569234764578e-16,-5.865398690054804e-16
