nuts2_code,year,gdp_mio_eur,gdp_growth,forcing_var,treated
AL01,2008,2140.56,,-16157.123333333333,1
AL01,2009,2121.81,-0.8759390066150896,-16157.123333333333,1
AL01,2010,2254.89,6.272003619551225,-16157.123333333333,1
AL01,2011,2228.84,-1.1552669975031904,-16157.123333333333,1
AL01,2012,2283.79,2.465408014931536,-16157.123333333333,1
AL01,2013,2280.37,-0.14975107168347934,-16157.123333333333,1
AL01,2014,2302.26,0.9599319408692519,-16157.123333333333,1
AL01,2015,2436.44,5.828186217021525,-16157.123333333333,1
AL01,2016,2576.58,5.751834643988762,-16157.123333333333,1
AL01,2017,2756.61,6.987169038027163,-16157.123333333333,1
AL01,2018,2939.04,6.617911129974852,-16157.123333333333,1
AL01,2019,3121.44,6.206108116936138,-16157.123333333333,1
AL01,2020,2907.94,-6.839791890922142,-16157.123333333333,1
AL01,2021,3389.55,16.561896050124837,-16157.123333333333,1
AL01,2022,4088.34,20.61601097490817,-16157.123333333333,1
AL01,2023,4887.89,19.556837249348156,-16157.123333333333,1
AL02,2008,4330.2,,-13750.226666666666,1
AL02,2009,4254.24,-1.75419149230982,-13750.226666666666,1
AL02,2010,4267.44,0.3102786866749474,-13750.226666666666,1
AL02,2011,4222.21,-1.0598860206587402,-13750.226666666666,1
AL02,2012,4269.03,1.1088979468098392,-13750.226666666666,1
AL02,2013,4326.1,1.3368376422747241,-13750.226666666666,1
AL02,2014,4558.46,5.371119484061859,-13750.226666666666,1
AL02,2015,4872.49,6.8889493381536715,-13750.226666666666,1
AL02,2016,5105.02,4.772303278200685,-13750.226666666666,1
AL02,2017,5743.39,12.504750226247886,-13750.226666666666,1
AL02,2018,6397.56,11.389963070590724,-13750.226666666666,1
AL02,2019,6880.32,7.546001913229405,-13750.226666666666,1
AL02,2020,6821.56,-0.8540300451141736,-13750.226666666666,1
AL02,2021,7676.94,12.53936049818516,-13750.226666666666,1
AL02,2022,9082.9,18.314067844740233,-13750.226666666666,1
AL02,2023,10920.77,20.23439650331944,-13750.226666666666,1
AL03,2008,2587.19,,-15481.216666666667,1
AL03,2009,2495.73,-3.535109520367663,-15481.216666666667,1
AL03,2010,2594.7,3.9655731990239307,-15481.216666666667,1
AL03,2011,2876.95,10.877943500211963,-15481.216666666667,1
AL03,2012,2975.93,3.4404490867063986,-15481.216666666667,1
AL03,2013,3034.53,1.969132338462276,-15481.216666666667,1
AL03,2014,3159.26,4.110356463768694,-15481.216666666667,1
AL03,2015,3030.28,-4.082601621898796,-15481.216666666667,1
AL03,2016,3153.46,4.0649708937787965,-15481.216666666667,1
AL03,2017,3270.82,3.7216264040133673,-15481.216666666667,1
AL03,2018,3680.25,12.51765612292941,-15481.216666666667,1
AL03,2019,3916.11,6.408803749745262,-15481.216666666667,1
AL03,2020,3650.03,-6.794497600935623,-15481.216666666667,1
AL03,2021,4176.62,14.427004709550317,-15481.216666666667,1
AL03,2022,4896.86,17.244566180308475,-15481.216666666667,1
AL03,2023,5921.82,20.930963923820567,-15481.216666666667,1
AT11,2000,4899.22,,-10585.713333333333,1
AT11,2001,5031.63,2.7026751197129384,-10585.713333333333,1
AT11,2002,5205.86,3.462694991483861,-10585.713333333333,1
AT11,2003,5260.05,1.0409423226902081,-10585.713333333333,1
AT11,2004,5532.69,5.183220691818513,-10585.713333333333,1
AT11,2005,5577.37,0.8075637709685557,-10585.713333333333,1
