nuts2_code,year,gdp_growth,forcing_var,treated
AL01,2020,-6.839791890922142,-16157.123333333331,1
AL02,2020,-0.8540300451141736,-13750.226666666666,1
AL03,2020,-6.794497600935623,-15481.216666666667,1
AT11,2020,-3.2263045681807934,-10585.713333333331,1
AT12,2020,-6.16867312058389,35355.69666666667,0
AT13,2020,-2.824578800939437,68095.79666666666,0
AT21,2020,-2.503938298305275,381.7900000000009,0
AT22,2020,-4.234277396187192,25459.47,0
AT31,2020,-3.2519093293935097,40511.97,0
AT32,2020,-3.270053822262531,6356.866666666669,0
AT33,2020,-5.581827511128989,11649.0,0
AT34,2020,-2.904556562810623,-2098.256666666668,1
ATZZ,2020,-1.218747823664601,-18460.49,1
BE10,2020,-4.632969843307155,59027.06999999999,0
BE21,2020,-2.1772679934256023,60349.26999999999,0
BE22,2020,-2.9896919140273925,6924.623333333337,0
BE23,2020,-2.458611554989354,31669.250000000004,0
BE24,2020,-4.724084073449264,26236.63,0
BE25,2020,-2.4240246491380124,23866.860000000004,0
BE31,2020,-1.9496668098843983,-1960.653333333332,1
BE32,2020,-3.79168766689626,12590.876666666663,0
BE33,2020,-4.22289137629247,11317.673333333332,0
BE34,2020,-2.486629347327629,-12159.303333333331,1
BE35,2020,-2.475392721850267,-6255.586666666668,1
BEZZ,2020,0.4747774480712285,-18432.17333333333,1
BG31,2020,6.973223410433227,-15471.286666666663,1
BG32,2020,1.2465865707034671,-14930.656666666666,1
BG33,2020,-1.1912646927399018,-13618.513333333332,1
BG34,2020,-6.069352728380927,-12797.259999999998,1
BG41,2020,1.4240096855719475,3305.463333333329,0
BG42,2020,4.367803110623503,-12203.533333333333,1
CH01,2020,-0.4316309825053044,93544.65666666668,0
CH02,2020,0.5134252560751396,103732.47333333331,0
CH03,2020,2.288789314689277,68032.32333333333,0
CH04,2020,-0.4043659597024907,112758.80666666666,0
CH05,2020,3.051313585049553,54858.456666666665,0
CH06,2020,3.042983007869582,37602.35333333335,0
CH07,2020,-2.616038954866007,8274.513333333332,0
CY00,2020,-4.3896268725281296,-448.62666666666337,1
CZ01,2020,-4.551925571268233,25790.06666666667,0
CZ02,2020,-6.622401491946928,1086.4300000000003,0
CZ03,2020,-3.10537090224019,-1830.496666666666,1
CZ04,2020,-6.066454138941779,-5820.4366666666665,1
CZ05,2020,-2.151623813713821,1064.193333333329,0
CZ06,2020,-0.7543233832742802,6003.376666666663,0
CZ07,2020,-3.1956361940875366,-2877.8099999999995,1
CZ08,2020,-6.230970672557801,-2624.833333333332,1
DE11,2020,-3.549894227430028,179124.22,0
DE12,2020,-4.180976133791237,96617.87666666668,0
DE13,2020,-4.121553761662611,62127.513333333336,0
DE14,2020,-2.5096798945315024,54607.0,0
DE21,2020,-3.081265068183725,229667.3266666667,0
DE22,2020,-1.3278419192942148,25994.97,0
DE23,2020,-1.375529583548918,24386.38,0
DE24,2020,-2.2875810158314525,18756.76,0
DE25,2020,-2.6185714307654595,54381.9,0
DE26,2020,-2.851945743948769,31044.76333333333,0
DE27,2020,-2.0233081624042804,49787.48999999999,0
DE30,2020,-0.3380198494366326,110739.32,0
DE40,2020,-1.3032794715070906,48417.20999999999,0
DE50,2020,-3.002996996435792,12564.716666666664,0
DE60,2020,-4.426852352176591,93546.89,0
DE71,2020,-3.059349642766118,175928.71333333332,0
DE72,2020,-2.0491877031524552,14806.066666666662,0
DE73,2020,-3.2847822133165394,23368.74,0
DE80,2020,-1.9866438366806567,22304.19,0
DE91,2020,-6.043505895033152,50228.206666666665,0
DE92,2020,-2.3717449162828808,57611.02333333332,0
DE93,2020,-0.4506936140439621,25820.79333333333,0
DE94,2020,-0.8185575821275881,63186.33,0
DEA1,2020,-2.0819066131159025,183247.02666666664,0
DEA2,2020,-2.5686902925627697,156374.73333333334,0
DEA3,2020,-0.8639386808489635,62566.34333333332,0
DEA4,2020,0.2257571261853552,54228.08,0
DEA5,2020,-2.8146375831356263,99963.76333333334,0
DEB1,2020,-0.385668076635981,27805.710000000003,0
DEB2,2020,-0.5762559914943122,-3213.366666666665,1
DEB3,2020,-3.105171965241449,54830.10666666666,0
DEC0,2020,-4.151576520177791,15943.91,0
DED2,2020,-2.0867228040872376,27256.72,0
DED4,2020,-3.130114820503438,19570.906666666662,0
DED5,2020,-2.1792525301759125,12594.163333333334,0
DEE0,2020,-1.627421062688883,39355.15666666666,0
DEF0,2020,-0.3861097796961754,66800.61666666667,0
DEG0,2020,-1.5527054492151635,39930.2,0
DK01,2020,1.4889986720565629,91865.42333333334,0
DK02,2020,1.0998365982695768,8872.676666666666,0
DK03,2020,1.0410558960016305,33755.36333333333,0
DK04,2020,3.015511085961853,36811.73,0
DK05,2020,1.1251125628336522,4865.82,0
DKZZ,2020,-46.89674990842144,-14379.693333333333,1
EE00,2020,-2.1521800670552094,2592.9233333333323,0
EL30,2020,-8.684877424053939,64781.98333333334,0
EL41,2020,-10.876038238520602,-16122.376666666663,1
EL42,2020,-21.79349302218237,-12590.856666666668,1
EL43,2020,-14.772880919421826,-9845.136666666667,1
EL51,2020,-8.520231078883834,-11925.726666666666,1
EL52,2020,-8.692228924305756,5174.223333333332,0
EL53,2020,-12.915582037552086,-13878.85,1
EL54,2020,-9.379315756434393,-14877.06,1
EL61,2020,-7.78427902486939,-9705.67,1
EL62,2020,-20.71699318699816,-15507.57,1
EL63,2020,-8.76133042333559,-10553.593333333334,1
EL64,2020,-3.750886990062152,-10802.633333333331,1
EL65,2020,-8.877501312435266,-10594.573333333334,1
