nuts2_code,year,gdp_growth,forcing_var,treated
AL01,2019,6.206108116936138,-16157.123333333331,1
AL02,2019,7.546001913229405,-13750.226666666666,1
AL03,2019,6.408803749745262,-15481.216666666667,1
AT11,2019,2.6509606250714635,-10585.713333333331,1
AT12,2019,4.644732119561845,35355.69666666667,0
AT13,2019,2.7640904960312573,68095.79666666666,0
AT21,2019,3.1647195767899428,381.7900000000009,0
AT22,2019,4.021334281125966,25459.47,0
AT31,2019,3.3092565439992283,40511.97,0
AT32,2019,3.732402242821808,6356.866666666669,0
AT33,2019,3.788730859465783,11649.0,0
AT34,2019,-2.096617827287872,-2098.256666666668,1
ATZZ,2019,0.7083742460373132,-18460.49,1
BE10,2019,4.74029293349727,59027.06999999999,0
BE21,2019,4.128535159372837,60349.26999999999,0
BE22,2019,3.5161853973298074,6924.623333333337,0
BE23,2019,4.005779342927052,31669.250000000004,0
BE24,2019,4.615409087174949,26236.63,0
BE25,2019,4.1331015422251705,23866.860000000004,0
BE31,2019,11.48728518764932,-1960.653333333332,1
BE32,2019,2.4136927118877827,12590.876666666663,0
BE33,2019,3.497210187057176,11317.673333333332,0
BE34,2019,3.94580042110726,-12159.303333333331,1
BE35,2019,2.4755944595963757,-6255.586666666668,1
BEZZ,2019,1.74506370388261,-18432.17333333333,1
BG31,2019,0.4987512105611769,-15471.286666666663,1
BG32,2019,5.995442265208117,-14930.656666666666,1
BG33,2019,5.778394586830116,-13618.513333333332,1
BG34,2019,0.7665516543903239,-12797.259999999998,1
BG41,2019,13.99679736049928,3305.463333333329,0
BG42,2019,9.178983445795907,-12203.533333333333,1
CH01,2019,4.82934263988708,93544.65666666668,0
CH02,2019,5.743704077258482,103732.47333333331,0
CH03,2019,4.9477856217281735,68032.32333333333,0
CH04,2019,2.87000806594544,112758.80666666666,0
CH05,2019,6.190083908292965,54858.456666666665,0
CH06,2019,6.103605292087022,37602.35333333335,0
CH07,2019,5.3194242864951,8274.513333333332,0
CY00,2019,7.3050043126790865,-448.62666666666337,1
CZ01,2019,7.517408883655552,25790.06666666667,0
CZ02,2019,11.83562385648047,1086.4300000000003,0
CZ03,2019,6.412032663685796,-1830.496666666666,1
CZ04,2019,7.947819155324387,-5820.4366666666665,1
CZ05,2019,6.893432581927694,1064.193333333329,0
CZ06,2019,7.797716181760395,6003.376666666663,0
CZ07,2019,7.574460985074527,-2877.8099999999995,1
CZ08,2019,2.3904880656047345,-2624.833333333332,1
DE11,2019,0.1825987339720614,179124.22,0
DE12,2019,2.7859707719369853,96617.87666666668,0
DE13,2019,3.330531588055563,62127.513333333336,0
DE14,2019,3.112404426128279,54607.0,0
DE21,2019,3.712583023537852,229667.3266666667,0
DE22,2019,4.065817040066122,25994.97,0
DE23,2019,2.61001043056317,24386.38,0
DE24,2019,2.8892812412276703,18756.76,0
DE25,2019,2.634460284302631,54381.9,0
DE26,2019,2.449470551827493,31044.76333333333,0
DE27,2019,4.921469993194338,49787.48999999999,0
DE30,2019,4.909548205136893,110739.32,0
DE40,2019,4.347204797221149,48417.20999999999,0
DE50,2019,0.1733310086961648,12564.716666666664,0
DE60,2019,4.520103250238017,93546.89,0
DE71,2019,2.396530780908823,175928.71333333332,0
DE72,2019,3.092796533039288,14806.066666666662,0
DE73,2019,4.629740085656886,23368.74,0
DE80,2019,6.447327594818786,22304.19,0
DE91,2019,2.1094297366364145,50228.206666666665,0
